date,wind_speed_700,wind_speed_850,wind_shear,temp_lapse
2022-06-03,2.2832396,1.9196202,0.3636194,7.846447
2022-06-04,3.0706806,1.8888601,1.1818203,8.073424
2022-06-05,2.5491326,1.7212414,0.82789135,7.9736776
2022-06-06,1.9921106,1.6760805,0.3160301,7.423022
2022-06-07,2.5049741,1.31812,1.1868541,7.262801
2022-06-08,2.647821,1.7057388,0.94208217,7.3812356
2022-06-09,3.3099437,1.7311313,1.5788122,7.1981096
2022-06-10,4.220278,1.9515445,2.2687335,7.3906174
2022-06-11,3.646898,2.1552854,1.4916128,7.6746078
2022-06-12,3.5337315,2.0265045,1.5072271,7.48187
2022-06-13,3.891328,1.9608923,1.930436,7.6254907
2022-06-14,4.6011195,1.757549,2.8435702,7.1988153
2022-06-15,4.6780815,2.0781212,2.5999606,7.1526666
2022-06-16,4.436646,2.5149586,1.9216872,7.697592
2022-06-17,4.8858314,2.4571676,2.428664,7.560111
2022-06-18,4.4586344,2.620834,1.8378001,8.05571
2022-06-19,4.1617546,2.5081668,1.6535877,7.7574253
2022-06-20,3.6528635,2.4269986,1.225865,7.867572
2022-06-21,1.8812902,1.7865081,0.09478209,7.6295557
2022-06-22,2.0976815,1.511854,0.5858275,7.3990364
2022-06-23,1.4169555,1.6608938,-0.24393846,7.2096987
2022-06-24,1.3437414,1.699823,-0.3560816,7.0636497
2022-06-25,2.312823,1.9399363,0.37288693,7.500849
2022-06-26,1.8217118,1.7575017,0.064210095,7.592059
2022-06-27,1.7853065,1.250122,0.5351845,7.444736
2022-06-28,2.82513,1.4118438,1.4132863,6.952765
2022-06-29,2.600575,1.5285673,1.0720078,6.988499
2022-06-30,2.1956916,1.1444457,1.0512458,7.417795
2022-07-01,1.4859326,1.3312781,0.15465453,7.2547398
2022-07-02,1.6351483,1.5613774,0.07377105,7.118626
2022-07-03,2.0591352,1.289582,0.76955336,7.3513565
2022-07-04,1.6247284,1.7916739,-0.16694546,7.1307135
2022-07-05,2.4608161,1.9191875,0.5416284,7.0928693
2022-07-06,3.3473449,2.1025906,1.2447546,7.0904565
2022-07-07,2.668264,1.6487556,1.0195082,7.103029
2022-07-08,1.7648426,1.6177555,0.14708725,6.9060063
2022-07-09,2.095113,1.7639892,0.33112383,7.527091
2022-07-10,3.003434,1.9579295,1.0455045,7.4806495
2022-07-11,2.841723,2.0986814,0.7430417,7.4673724
2022-07-12,3.145151,2.0584242,1.0867269,7.351632
2022-07-13,3.793771,1.8638811,1.9298898,7.5026593
2022-07-14,4.526833,2.267372,2.2594612,7.680172
2022-07-15,4.587152,1.9586284,2.6285236,7.8350134
2022-07-16,3.5614347,2.0602345,1.5012002,7.578593
2022-07-17,2.647777,2.0178683,0.62990886,7.2053914
2022-07-18,2.352282,1.8827333,0.46954864,7.037721
2022-07-19,1.3844742,1.2087935,0.17568061,6.8965044
2022-07-20,1.5961909,1.6967443,-0.10055336,7.313389
2022-07-21,2.7922397,1.7317898,1.0604498,7.7907505
2022-07-22,3.0616534,1.9367993,1.1248538,7.3747177
2022-07-23,2.3561144,1.3340204,1.0220938,7.949789
2022-07-24,2.6194844,1.778046,0.8414385,7.526332
2022-07-25,1.9315002,1.6794351,0.252065,7.5652466
2022-07-26,1.216725,1.4582988,-0.24157389,7.2330546
2022-07-27,1.5219482,1.3037955,0.21815285,7.5756793
2022-07-28,1.3074977,1.31598,-0.008482162,7.59194
2022-07-29,1.7899772,1.6103059,0.17967118,7.415012
2022-07-30,1.8934752,1.514669,0.37880614,7.26954
2022-07-31,3.2813148,2.1004245,1.1808901,6.9943404
2022-08-01,1.8975925,1.3815653,0.5160273,6.914917
2022-08-02,2.5340059,1.8086488,0.72535706,6.8137913
2022-08-03,2.013043,1.764905,0.24813773,7.2593136
2022-08-04,2.3085585,1.5294728,0.7790856,7.321197
2022-08-05,1.4433321,1.3600758,0.083256334,7.4199686
2022-08-06,1.0651419,1.0771016,-0.011959632,7.5156245
2022-08-07,3.8272057,1.824049,2.003157,7.5517464
2022-08-08,4.2426033,1.9736253,2.268978,7.1989017
2022-08-09,4.4179463,2.5890262,1.8289201,7.097449
2022-08-10,5.948934,2.921477,3.027457,7.1990585
2022-08-11,6.7616205,3.0916917,3.6699283,7.647162
2022-08-12,3.7080593,1.9071809,1.8008784,7.085738
2022-08-13,3.0643685,1.6692519,1.3951167,7.108599
2022-08-14,4.8493414,2.6300988,2.2192426,7.5221763
2022-08-15,5.2263203,2.991026,2.235294,7.759774
2022-08-16,1.3665369,1.4094552,-0.04291822,7.476587
2022-08-17,1.5657586,1.5292757,0.03648286,7.428333
2022-08-18,1.3757644,1.392334,-0.016569698,7.4505634
2022-08-19,3.2360473,1.7164475,1.5195998,7.6307073
2022-08-20,5.33733,2.6447325,2.6925976,7.565
2022-08-21,3.8981974,2.3263369,1.5718603,7.636045
2022-08-22,2.8621676,1.8693197,0.992848,7.555019
2022-08-23,3.5538547,1.5679353,1.9859192,7.4941325
2022-08-24,3.255006,1.6379861,1.6170201,7.467658
2022-08-25,1.855298,1.5214691,0.33382902,6.8909893
2022-08-26,1.6252173,1.4230149,0.20220247,7.1776495
2022-08-27,1.9081455,1.4220392,0.48610646,7.240469
2022-08-28,2.403476,2.1685097,0.23496623,7.269867
2022-08-29,1.9627086,1.8013139,0.16139473,7.177301
2022-08-30,1.9463012,1.4114496,0.5348516,7.169253
2022-08-31,1.9465271,1.62577,0.32075712,6.9352517
2022-09-01,2.517747,1.5439075,0.97383934,7.304259
2022-09-02,2.6753716,1.8814982,0.79387367,7.1391196
2022-09-03,3.483944,2.20148,1.2824641,7.179592
2022-09-04,3.6658845,2.0976346,1.5682501,7.2301226
2022-09-05,2.6395915,1.9312202,0.70837116,7.4087505
2022-09-06,1.7096492,1.7403898,-0.030740561,7.331852
2022-09-07,2.0841458,1.6025162,0.48162952,7.575903
2022-09-08,2.0696633,1.2201097,0.84955364,7.7061586
2022-09-09,2.0012999,1.4473997,0.55390024,7.913391
2022-09-10,2.7241569,1.5825217,1.1416351,8.417345
2022-09-11,4.2148,2.004313,2.2104867,7.9813776
2022-09-12,5.0549107,2.7832384,2.2716727,7.7136846
2022-09-13,4.3615947,2.2383518,2.1232429,7.6691957
2022-09-14,3.1160288,2.2020261,0.91400266,7.5773134
2022-09-15,2.0936143,1.6019231,0.49169123,7.4539495
2022-09-16,1.7688231,1.6192235,0.14959966,7.627379
2022-09-17,1.8782108,1.488171,0.39003968,7.708133
2022-09-18,2.334809,1.8126626,0.5221466,7.9462643
2022-09-19,3.4407065,1.6692028,1.7715037,7.7839146
2022-09-20,3.718912,2.0379384,1.6809736,8.067841
2022-09-21,3.1486754,2.1629257,0.9857497,7.711602
2022-09-22,2.0265765,1.9156743,0.11090233,7.6739883
2022-09-23,1.9188743,1.828423,0.09045131,7.723856
2022-09-24,2.249035,1.9011276,0.3479073,8.112352
2022-09-25,2.1882012,1.8657744,0.32242683,7.7603936
2022-09-26,2.9528065,1.9911302,0.96167624,7.5771785
2022-09-27,1.8165884,1.7859054,0.03068307,8.1938305
2022-09-28,1.8588438,1.7236334,0.13521035,8.207822
2022-09-29,1.7445207,1.7263248,0.018195923,8.251396
2022-09-30,2.0657635,1.7917814,0.2739822,8.512529
2022-10-01,2.011549,1.5748662,0.43668288,8.452847
2022-10-02,1.6415614,1.8061318,-0.16457042,8.505222
2022-10-03,1.6991235,1.6023864,0.096737094,7.7538195
2022-10-04,3.9215088,2.308562,1.6129467,7.5804753
2022-10-05,2.8993156,1.9175739,0.98174167,8.223428
2022-10-06,2.3513882,1.7044145,0.64697385,8.210434
2022-10-07,3.055774,1.9530569,1.102717,8.232248
2022-10-08,3.3397331,2.0352538,1.3044795,8.131543
2022-10-09,4.3196974,2.2857156,2.033982,8.062642
2022-10-10,4.1393323,2.384148,1.7551844,8.149216
2022-10-11,3.8815408,2.366112,1.5154288,8.339569
2022-10-12,3.2775939,1.7606193,1.5169746,8.099991
2022-10-13,2.0379124,1.999026,0.03888646,8.8253355
2022-10-14,1.4691207,1.8838774,-0.41475654,9.36618
2022-10-15,1.5701354,1.6506276,-0.0804923,8.657832
2022-10-16,1.8129581,1.57092,0.24203809,8.917758
2022-10-17,1.6309938,1.8015733,-0.17057939,10.07285
2022-10-18,2.6088753,2.3761168,0.23275839,10.210378
2022-10-19,2.3091102,1.8391806,0.4699296,10.77268
2022-10-20,2.204577,1.6218393,0.5827377,10.329867
2022-10-21,2.982764,1.9271647,1.0555995,10.156446
2022-10-22,3.7217784,1.9364884,1.7852901,10.756049
2022-10-23,2.7055137,1.6110426,1.0944713,11.406611
2022-10-24,1.5874732,1.4028487,0.1846245,10.0771475
2022-10-25,1.7504922,2.0793557,-0.3288635,8.494547
2022-10-26,2.3756373,1.9084463,0.4671909,8.719872
2022-10-27,1.6510926,1.8278837,-0.1767909,8.596412
2022-10-28,1.9536113,1.8475595,0.10605182,9.129789
2022-10-29,2.1941147,1.5266157,0.667499,9.7211685
2022-10-30,1.8330804,1.5420328,0.29104763,9.330902
2022-10-31,2.669755,1.8152218,0.85453296,9.105673
2022-11-01,2.3355172,1.9310118,0.40450555,9.089367
2022-11-02,2.185505,2.0586927,0.12681234,9.449178
2022-11-03,1.5231241,1.5546947,-0.03157063,9.345345
2022-11-04,1.49438,1.364389,0.12999095,9.319322
2022-11-05,2.0488982,1.7826533,0.26624477,9.612809
2022-11-06,1.9943844,1.9637017,0.030682776,10.005143
2022-11-07,2.0039876,1.8254162,0.17857134,9.34345
2022-11-08,2.3062544,2.0831933,0.22306097,9.148414
2022-11-09,2.0744145,2.2363145,-0.16190016,9.446058
2022-11-10,2.0839958,2.1136699,-0.029674117,9.952929
2022-11-11,2.3836377,2.1692216,0.21441613,10.347705
2022-11-12,4.3721714,2.5219665,1.850205,9.740557
2022-11-13,3.2774422,1.9944601,1.2829821,9.195841
2022-11-14,3.1441863,2.1212912,1.0228951,8.796549
2022-11-15,4.0842648,1.9947805,2.0894845,9.650575
2022-11-16,3.3866777,2.1184618,1.2682158,9.956574
2022-11-17,2.527922,1.9968568,0.53106517,10.122637
2022-11-18,1.4562624,1.5096058,-0.05334334,9.457378
2022-11-19,1.8651824,1.7368551,0.12832722,9.307647
2022-11-20,2.4206152,2.1204948,0.30012056,9.232462
2022-11-21,3.554855,2.086513,1.4683422,8.457049
2022-11-22,4.568883,2.254034,2.3148491,8.24377
2022-11-23,4.426557,2.0604236,2.3661332,8.339542
2022-11-24,1.7818966,1.6905041,0.09139255,8.691384
2022-11-25,2.668414,1.5236698,1.1447444,8.704987
2022-11-26,1.7314798,1.3373785,0.3941012,8.529508
2022-11-27,2.1514013,1.776206,0.37519535,8.888317
2022-11-28,2.6588151,1.8720844,0.78673065,8.687409
2022-11-29,2.4951532,1.8001988,0.69495434,8.682891
2022-11-30,3.0235918,1.8724949,1.1510969,8.809212
2022-12-01,2.3317254,1.4303427,0.9013826,8.899559
2022-12-02,2.5916965,1.5729722,1.0187243,8.871599
2022-12-03,3.0944796,1.8601338,1.2343459,9.112223
2022-12-04,3.1564412,1.5915082,1.564933,8.949025
2022-12-05,2.9017072,1.9411672,0.96053994,9.201162
2022-12-06,3.5947094,1.5972868,1.9974227,8.939086
2022-12-07,3.331479,1.6051717,1.7263075,8.714389
2022-12-08,1.9257476,1.442741,0.48300654,9.288558
2022-12-09,3.1434753,1.7971956,1.3462797,8.633306
2022-12-10,4.6233926,1.6353235,2.9880693,8.721325
2022-12-11,5.5757236,1.7099681,3.865755,7.9993534
2022-12-12,5.369262,1.8321115,3.5371504,7.2222476
2022-12-13,6.2191916,1.769488,4.4497037,7.411751
2022-12-14,4.8450885,1.6340255,3.2110627,7.5545444
2022-12-15,4.292824,1.4353164,2.8575075,8.476171
2022-12-16,2.0891511,1.5916756,0.49747556,8.695383
2022-12-17,1.4178232,1.7050729,-0.28724965,9.474723
2022-12-18,1.6525066,1.643717,0.008789549,9.892704
2022-12-19,1.7384613,1.5779505,0.16051084,9.994673
2022-12-20,2.64799,1.420907,1.2270832,8.86325
2022-12-21,4.164089,2.1566486,2.0074403,8.494748
2022-12-22,4.6573496,2.105849,2.5515006,8.72714
2022-12-23,3.2105873,1.8357657,1.3748214,8.456057
2022-12-24,4.6374006,2.487316,2.1500845,10.220708
2022-12-25,4.090892,2.490697,1.6001949,10.597138
2022-12-26,4.4494514,2.6836107,1.7658411,10.238833
2022-12-27,5.39738,2.1509097,3.24647,10.3149395
2022-12-28,4.0536327,1.7698573,2.2837756,9.153564
2022-12-29,2.59356,2.2450306,0.34852952,8.553083
2022-12-30,2.5749896,1.9347448,0.64024484,9.711461
2022-12-31,2.9981127,1.5953419,1.4027705,10.225025
